Entity,Code,Year,Total democracy score,World region according to OWID
Afghanistan,AFG,2025,8,Asia
Albania,ALB,2025,69,Europe
Algeria,DZA,2025,31,Africa
Andorra,AND,2025,93,Europe
Angola,AGO,2025,28,Africa
Antigua and Barbuda,ATG,2025,83,North America
Argentina,ARG,2025,85,South America
Armenia,ARM,2025,54,Asia
Australia,AUS,2025,94,Oceania
Austria,AUT,2025,94,Europe
Azerbaijan,AZE,2025,6,Asia
Bahamas,BHS,2025,90,North America
Bahrain,BHR,2025,12,Asia
Bangladesh,BGD,2025,44,Asia
Barbados,BRB,2025,94,North America
Belarus,BLR,2025,7,Europe
Belgium,BEL,2025,95,Europe
Belize,BLZ,2025,87,North America
Benin,BEN,2025,61,Africa
Bhutan,BTN,2025,69,Asia
Bolivia,BOL,2025,69,South America
Bosnia and Herzegovina,BIH,2025,54,Europe
Botswana,BWA,2025,75,Africa
Brazil,BRA,2025,73,South America
Brunei,BRN,2025,27,Asia
Bulgaria,BGR,2025,74,Europe
Burkina Faso,BFA,2025,20,Africa
Burundi,BDI,2025,13,Africa
Cambodia,KHM,2025,22,Asia
Cameroon,CMR,2025,15,Africa
Canada,CAN,2025,97,North America
Cape Verde,CPV,2025,92,Africa
Central African Republic,CAF,2025,5,Africa
Chad,TCD,2025,15,Africa
Chile,CHL,2025,95,South America
China,CHN,2025,9,Asia
Colombia,COL,2025,69,South America
Comoros,COM,2025,41,Africa
Congo,COG,2025,17,Africa
Costa Rica,CRI,2025,91,North America
Cote d'Ivoire,CIV,2025,46,Africa
Croatia,HRV,2025,82,Europe
Cuba,CUB,2025,9,North America
Cyprus,CYP,2025,90,Europe
Czechia,CZE,2025,95,Europe
Democratic Republic of Congo,COD,2025,18,Africa
Denmark,DNK,2025,97,Europe
Djibouti,DJI,2025,24,Africa
Dominica,DMA,2025,92,North America
Dominican Republic,DOM,2025,67,North America
East Timor,TLS,2025,73,Asia
Ecuador,ECU,2025,64,South America
Egypt,EGY,2025,18,Africa
El Salvador,SLV,2025,42,North America
Equatorial Guinea,GNQ,2025,5,Africa
Eritrea,ERI,2025,3,Africa
Estonia,EST,2025,96,Europe
Eswatini,SWZ,2025,17,Africa
Ethiopia,ETH,2025,18,Africa
Fiji,FJI,2025,72,Oceania
Finland,FIN,2025,100,Europe
France,FRA,2025,89,Europe
Gabon,GAB,2025,25,Africa
Gambia,GMB,2025,51,Africa
Georgia,GEO,2025,51,Asia
Germany,DEU,2025,95,Europe
Ghana,GHA,2025,80,Africa
Greece,GRC,2025,85,Europe
Grenada,GRD,2025,89,North America
Guatemala,GTM,2025,48,North America
Guinea,GIN,2025,28,Africa
Guinea-Bissau,GNB,2025,33,Africa
Guyana,GUY,2025,74,South America
Haiti,HTI,2025,22,North America
Honduras,HND,2025,47,North America
Hungary,HUN,2025,65,Europe
Iceland,ISL,2025,95,Europe
India,IND,2025,62,Asia
Indonesia,IDN,2025,56,Asia
Iran,IRN,2025,10,Asia
Iraq,IRQ,2025,31,Asia
Ireland,IRL,2025,98,Europe
Israel,ISR,2025,73,Asia
Italy,ITA,2025,87,Europe
Jamaica,JAM,2025,81,North America
Japan,JPN,2025,96,Asia
Jordan,JOR,2025,34,Asia
Kazakhstan,KAZ,2025,23,Asia
Kenya,KEN,2025,49,Africa
Kiribati,KIR,2025,89,Oceania
Kosovo,OWID_KOS,2025,61,Europe
Kuwait,KWT,2025,30,Asia
Kyrgyzstan,KGZ,2025,25,Asia
Laos,LAO,2025,13,Asia
Latvia,LVA,2025,89,Europe
Lebanon,LBN,2025,41,Asia
Lesotho,LSO,2025,67,Africa
Liberia,LBR,2025,65,Africa
Libya,LBY,2025,10,Africa
Liechtenstein,LIE,2025,90,Europe
Lithuania,LTU,2025,90,Europe
Luxembourg,LUX,2025,97,Europe
Madagascar,MDG,2025,50,Africa
Malawi,MWI,2025,68,Africa
Malaysia,MYS,2025,53,Asia
Maldives,MDV,2025,41,Asia
Mali,MLI,2025,21,Africa
Malta,MLT,2025,88,Europe
Marshall Islands,MHL,2025,93,Oceania
Mauritania,MRT,2025,38,Africa
Mauritius,MUS,2025,87,Africa
Mexico,MEX,2025,58,North America
Micronesia (country),FSM,2025,92,Oceania
Moldova,MDA,2025,60,Europe
Monaco,MCO,2025,82,Europe
Mongolia,MNG,2025,84,Asia
Montenegro,MNE,2025,68,Europe
Morocco,MAR,2025,37,Africa
Mozambique,MOZ,2025,42,Africa
Myanmar,MMR,2025,4,Asia
Namibia,NAM,2025,73,Africa
Nauru,NRU,2025,75,Oceania
Nepal,NPL,2025,59,Asia
Netherlands,NLD,2025,97,Europe
New Zealand,NZL,2025,99,Oceania
Nicaragua,NIC,2025,14,North America
Niger,NER,2025,27,Africa
Nigeria,NGA,2025,44,Africa
North Korea,PRK,2025,3,Asia
North Macedonia,MKD,2025,67,Europe
Norway,NOR,2025,99,Europe
Oman,OMN,2025,24,Asia
Pakistan,PAK,2025,32,Asia
Palau,PLW,2025,92,Oceania
Panama,PAN,2025,82,North America
Papua New Guinea,PNG,2025,61,Oceania
Paraguay,PRY,2025,63,South America
Peru,PER,2025,66,South America
Philippines,PHL,2025,58,Asia
Poland,POL,2025,82,Europe
Portugal,PRT,2025,96,Europe
Qatar,QAT,2025,25,Asia
Romania,ROU,2025,83,Europe
Russia,RUS,2025,12,Europe
Rwanda,RWA,2025,21,Africa
Saint Kitts and Nevis,KNA,2025,89,North America
Saint Lucia,LCA,2025,91,North America
Saint Vincent and the Grenadines,VCT,2025,90,North America
Samoa,WSM,2025,84,Oceania
San Marino,SMR,2025,97,Europe
Sao Tome and Principe,STP,2025,84,Africa
Saudi Arabia,SAU,2025,9,Asia
Senegal,SEN,2025,70,Africa
Serbia,SRB,2025,53,Europe
Seychelles,SYC,2025,81,Africa
Sierra Leone,SLE,2025,61,Africa
Singapore,SGP,2025,48,Asia
Slovakia,SVK,2025,88,Europe
Slovenia,SVN,2025,97,Europe
Solomon Islands,SLB,2025,74,Oceania
Somalia,SOM,2025,8,Africa
South Africa,ZAF,2025,81,Africa
South Korea,KOR,2025,83,Asia
South Sudan,SSD,2025,0,Africa
Spain,ESP,2025,91,Europe
Sri Lanka,LKA,2025,63,Asia
Sudan,SDN,2025,1,Africa
Suriname,SUR,2025,81,South America
Sweden,SWE,2025,99,Europe
Switzerland,CHE,2025,96,Europe
Syria,SYR,2025,10,Asia
Taiwan,TWN,2025,93,Asia
Tajikistan,TJK,2025,5,Asia
Tanzania,TZA,2025,28,Africa
Thailand,THA,2025,33,Asia
Togo,TGO,2025,37,Africa
Tonga,TON,2025,79,Oceania
Trinidad and Tobago,TTO,2025,83,North America
Tunisia,TUN,2025,42,Africa
Turkey,TUR,2025,32,Asia
Turkmenistan,TKM,2025,1,Asia
Tuvalu,TUV,2025,93,Oceania
Uganda,UGA,2025,33,Africa
Ukraine,UKR,2025,51,Europe
United Arab Emirates,ARE,2025,18,Asia
United Kingdom,GBR,2025,92,Europe
United States,USA,2025,81,North America
Uruguay,URY,2025,97,South America
Uzbekistan,UZB,2025,12,Asia
Vanuatu,VUT,2025,82,Oceania
Venezuela,VEN,2025,13,South America
Vietnam,VNM,2025,20,Asia
Western Sahara,ESH,2025,4,Africa
Yemen,YEM,2025,10,Asia
Zambia,ZMB,2025,53,Africa
Zimbabwe,ZWE,2025,25,Africa
