Entity,Code,Year,"Homicide rate per 100,000 population",World region according to OWID,"Homicide rate per 100,000 population (Original Year)"
Afghanistan,AFG,2024,4.0324583,,2021
Albania,ALB,2024,1.7551677,Europe,
Algeria,DZA,2024,1.1610724,,2023
Andorra,AND,2024,2.5846472,,2020
Antigua and Barbuda,ATG,2024,10.716333,,2023
Argentina,ARG,2024,4.4929113,,2023
Armenia,ARM,2024,2.2083356,,2023
Australia,AUS,2024,0.85440606,,2023
Austria,AUT,2024,0.876191,,2023
Azerbaijan,AZE,2024,1.9929228,Asia,
Bahamas,BHS,2024,32.19814,,2022
Bahrain,BHR,2024,0.19563614,,2022
Barbados,BRB,2024,15.231051,,2022
Belarus,BLR,2024,2.3846316,,2019
Belgium,BEL,2024,1.0803015,,2021
Belize,BLZ,2024,28.058292,,2022
Bhutan,BTN,2024,2.4675133,,2020
Bolivia,BOL,2024,4.418433,,2023
Bosnia and Herzegovina,BIH,2024,1.2244617,,2023
Botswana,BWA,2024,11.368176,,2021
Brazil,BRA,2024,20.575377,,2023
Bulgaria,BGR,2024,1.0889074,,2023
Cameroon,CMR,2024,6.7600894,,2022
Canada,CAN,2024,1.9796889,,2023
Cape Verde,CPV,2024,6.994644,,2020
Chile,CHL,2024,6.348291,,2023
China,CHN,2024,0.5018561,,2020
Colombia,COL,2024,24.913443,,2023
Costa Rica,CRI,2024,17.74548,,2023
Croatia,HRV,2024,0.66734713,,2023
Cuba,CUB,2024,4.4631515,,2019
Cyprus,CYP,2024,0.9570879,Europe,
Czechia,CZE,2024,0.76782775,,2023
Denmark,DNK,2024,0.8405994,,2023
Dominica,DMA,2024,28.431835,,2022
Dominican Republic,DOM,2024,10.9166975,,2023
Ecuador,ECU,2024,45.722813,,2023
El Salvador,SLV,2024,7.897688,,2022
Estonia,EST,2024,1.5359905,,2023
Eswatini,SWZ,2024,12.514571,,2021
Fiji,FJI,2024,2.0559533,,2023
Finland,FIN,2024,0.98193496,,2023
France,FRA,2024,1.3478885,Europe,
French Guiana,GUF,2024,13.38809,,2020
Georgia,GEO,2024,2.028065,,2019
